"REGION","EA_SVC_A","EA_SVC_B","EA_SVC_C","EA_SVC_D","EA_FAC_A","EA_FAC_B","EA_FAC_C","EA_FAC_D","EA_FAC_E","EA_FAC_F","EA_FAC_G","EA_SEC_A","EA_SEC_B","EA_SEC_C","EA_SEC_D","EA_SEC_E","Q87C","URBRUR_COND","AGE_COND","EDUC_COND","RELIG_COND","LivedPoverty"
"East Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0.4
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,1,2,1,1.4
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3,1,1,0.8
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,3,0,1,2.4
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,2
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5,1,1,1.6
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5,1,1,1
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0.6
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,2,2,3.4
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,4,1,1,1.2
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0.6
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,5,0,1,2,1,0.6
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,4,1,1,1.4
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,2.2
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,3,1,2.6
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,1,2,1,0.2
"East Africa",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,2,1,2
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,0
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,0,1,1.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,2,1,1.6
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,1
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,2,2,2.4
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,1
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,1
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,2,1,1.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,4,1,1,1.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,0
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,0.4
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,0,1,1.6
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,4,0,1,1.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,4,2,1,1.6
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,2
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,3,1,1.2
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,1,1,0
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,1,1,3.6
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1,0.4
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,5,0,1,2.8
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,3,1,2.4
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,2
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,1,2,1,1
"East Africa",0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,2,1,0.8
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,4,0,1,1.8
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,3,1,1.2
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,0
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,4,1,1,1.6
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,0.6
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,3,1,1,0.8
"East Africa",0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0.2
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,4,1,1,1
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,4,1,1,0.4
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,5,0,1,1.6
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,3,2,1,0
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0.4
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0.8
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,2.6
"East Africa",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0.4
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,0.2
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,3,0,1,3.6
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,4,1,1,0.6
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,0
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,3,1,1,0.6
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,2,2,1,0.4
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0.6
"East Africa",0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,2,3,1,0.2
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1.4
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,2,1,1.2
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,2,1,1,0.4
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,0,1,1.2
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,1,3,1,0.8
"East Africa",0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,2,2,1.6
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,4,0,1,0.6
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,3,1,0.8
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5,0,1,2,1,0.6
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,2,1,1
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,2,1,0
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,2.6
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,2,1,0
"East Africa",0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,2,1,0.8
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0.4
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0.4
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,1,0.4
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0.4
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0.6
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0.8
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1.2
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1.4
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0.6
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0.8
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,2,1,1,2
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,2,2,1,0
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,3,1,3,0.4
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,2,1,1,1.4
"East Africa",0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,2,1,1,1
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,2,2,2,0
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,2,3,1,0.2
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,2,1,2,1.6
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,3,1,0.6
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,2,3,1,0.8
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,2,1,0.4
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0.4
"East Africa",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,3,1,0
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,3,0,1,1.8
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,2.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,0.6
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,5,1,2,1
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,3,1,2.8
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,2,2,0.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,3,1,1,0.4
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,1.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,3,0.4
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,1.6
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1.4
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,2,1,0.8
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,3,1,0.4
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,5,1,2,1
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,2,0,1,1.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,0.8
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,3,3,1,0.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,3,1,0
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,2,0,2,1,1,1.6
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,5,0,1,2,1,0.2
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,2,2,1,1.8
"East Africa",0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,2,0,2,2,1,1.8
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,2.8
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,1,1.4
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1.2
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,2,1,1.6
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1.6
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,2,1,2.2
"East Africa",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1.2
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,2,1.2
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,3,2,2,0.4
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,3,0,2,1.2
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,2,1.6
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,3,1,3,3,1,2
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,2,2,2.4
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,2,1,2,1
"East Africa",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,2,2,3.2
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1.6
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,2.2
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1.8
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2.2
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1.4
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0.6
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1.4
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,1
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0.8
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5,1,1,1.6
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,4,0,1,3.2
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3,2,1,1
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5,1,1,1.8
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3,0,1,2.6
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,5,2,1,0.8
"East Africa",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1.2
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,2,2,1,1.8
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,3,2,1,1.2
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,4,0,2,0,1,1.6
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,3,1,1,1.6
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,3,1,1,1.4
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,5,1,1,1.6
"East Africa",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,3,1,1,1.6
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,2,1.6
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,4,3,1,0.6
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,1,1,1.4
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,2,1,1
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,1,1.4
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0.8
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,1.4
"East Africa",1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3,1,1,1.8
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,3,2,1,1.2
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,2,1,2,0.8
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,0.4
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,6,0,1,1
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,2,2,1,2
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,4,1,1,1.4
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,2,1.6
"East Africa",1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,2,2,1,1.4
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,4,0,1,1
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1,1,1.2
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,2,1,1
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,5,1,1,1.2
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,2,2,1.6
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1,2,1.2
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1,1,1.4
"East Africa",0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2,1,1,1.8
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,2,1.4
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,3,3,1,0.8
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,2,3,1,0.6
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,3,1,0.6
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,2,1.6
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,2,1,2,1,1,2
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,4,3,1,0.4
"East Africa",1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,3,1,1,3,1,1.2
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1.8
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2.2
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1.8
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,2
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1.8
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1.6
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1.8
"East Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1.8
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.2
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1.4
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,1.8
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0.8
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2.4
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1.2
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3.4
"East Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.2
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,3,2,2,2
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2,2,1,1
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,3,3,1,0.2
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,4,0,2,0.8
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,2,1,1.4
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,2,3,2,0.2
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,2,1,2.2
"East Africa",1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,4,1,2,1
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,2,1,1.2
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,1,1
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3,3,2,1.2
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,1,2.4
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2,1,1.4
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3,1,2,1.8
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3,2,1,2.4
"East Africa",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3,0,1,1.6
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,1,2.4
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,1.6
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,2,2.6
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,1.2
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,2.6
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,1.6
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2.4
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,2.2
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,1,0.8
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,1,1.2
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,2.4
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,2,2.2
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,2.8
"East Africa",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0.4
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,1.2
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,2,1,0.4
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,3,1.2
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,0
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,0.6
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0.6
"East Africa",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,1,1,1
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,4,1,2,0.2
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,2,0.4
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0.8
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,2,2,1.4
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,1,1,0.8
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,1,2,2.2
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,1,1,1.4
"East Africa",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,2
"East Africa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,1,0.6
